timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-01-02 06:00:00,181559.387577,2292346.2541,516.92355,4600.0,49219.8482364,680.97315,404182.665606,5267873.36361,577.02645,5000.0,2232.96906714,5260.67685,33989.9050293,58749.6,75191.4108211,33569.25,1866.15,82500.0,6373401.07801,7335.9,4104.0,745869.831782,215.03625,2879.1906,350018.312,101412737.243,7350.46129873,8768.90520072,52818562.3802,5703.21736485
2030-01-02 07:00:00,181559.387577,2293679.13976,516.92355,4600.0,49272.3852773,680.97315,404182.665606,5269748.6219,577.02645,5000.0,2273.04468262,5260.67685,33989.9050293,58749.6,75969.9624958,33569.25,1866.15,82500.0,6376411.66436,7335.9,4104.0,745951.496118,215.03625,2879.1906,350018.312,101385170.856,7350.46129873,8768.90520072,52807230.9442,6245.78212962
2030-01-02 08:00:00,181559.387577,2295011.29657,516.92355,4600.0,49324.9387186,680.97315,404182.665606,5271622.4134,577.02645,5000.0,2313.1179057,5260.67685,33989.9050293,58749.6,76748.0527284,33569.25,1866.15,82500.0,6380014.3954,7335.9,4104.0,746033.185947,215.03625,2879.1906,350018.312,101365624.393,7350.46129873,8768.90520072,52795897.1559,6826.98307445
2030-01-02 09:00:00,181559.387577,2296342.72175,516.92355,4600.0,49377.5087037,680.97315,404182.665606,5273494.73547,577.02645,5000.0,2303.18858089,5260.67685,33989.9050293,58749.6,77525.6826857,33569.25,1866.15,82500.0,6386085.73933,7335.9,4104.0,746114.901491,215.03625,2879.1906,350018.312,101345624.946,7350.46129873,8768.90520072,52784560.9953,6885.2784
2030-01-02 10:00:00,181559.387577,2297673.41241,516.92355,4600.0,49430.0953382,680.97315,404182.665606,5275365.58534,577.02645,5000.0,2343.25652237,5260.67685,33989.9050293,58749.6,78302.8543654,33569.25,1866.15,82500.0,6392243.85935,7335.9,4104.0,746196.642916,215.03625,2879.1906,350018.312,101318290.98,7350.46129873,8768.90520072,52773222.4453,6885.2784
2030-01-02 11:00:00,181559.387577,2299003.3656,516.92355,4600.0,49482.6986906,680.97315,404182.665606,5277234.96007,577.02645,5000.0,2383.32151404,5260.67685,33989.9050293,58749.6,79079.5705963,33569.25,1866.15,82500.0,6398395.94964,7335.9,4104.0,746278.410328,215.03625,2879.1906,350018.312,101298059.501,7350.46129873,8768.90520072,52761881.4919,6885.2784
2030-01-02 12:00:00,181559.387577,2300332.57831,516.92355,4600.0,49535.3187917,680.97315,404182.665606,5279102.85659,577.02645,5000.0,2423.38330947,5260.67685,34273.5804129,58749.6,79855.8350385,33569.25,1866.15,82500.0,6404541.98735,7335.9,4104.0,746360.203774,215.03625,2879.1906,350018.312,101277745.512,7350.46129873,8768.90520072,52750538.1243,6885.2784
2030-01-02 13:00:00,181559.387577,2301661.04742,516.92355,4600.0,49587.955635,680.97315,404182.665606,5280969.27166,577.02645,5000.0,2463.4416319,5260.67685,34273.5804129,58749.6,80631.6521829,33569.25,1866.15,82500.0,6410681.95139,7335.9,4104.0,746442.023244,215.03625,2879.1906,350018.312,101250626.093,7350.46129873,8768.90520072,52739192.3348,6885.2784
2030-01-02 14:00:00,181559.387577,2302988.76977,516.92355,4600.0,49640.6091763,680.97315,404182.665606,5282834.20188,577.02645,5000.0,2453.4961743,5260.67685,34273.5804129,58749.6,81407.0273518,33569.25,1866.15,82500.0,6416815.82242,7335.9,4104.0,746523.86867,215.03625,2879.1906,350018.312,101229842.501,7350.46129873,8768.90520072,52727844.1187,6885.2784
2030-01-02 15:00:00,181559.387577,2304315.74208,516.92355,4600.0,49693.2793344,680.97315,404182.665606,5280487.37329,577.02645,5000.0,2443.54659929,5260.67685,34273.5804129,58749.6,81186.0666982,33569.25,1866.15,82500.0,6414828.27079,7335.9,4104.0,746605.739925,215.03625,2879.1906,350018.312,101208280.669,7350.46129873,8768.90520072,52716493.4745,6885.2784
